frame,timestamp,shot_type,direction
1044,41.76,Forehand,Right
1044,41.76,Bounce,Right
1047,41.88,Forehand,Right
1050,42.0,Backhand,Left
1053,42.12,Smash,Right
1053,42.12,Bounce,Right
1068,42.72,Backhand,Left
1071,42.84,Smash,Right
1071,42.84,Bounce,Right
1080,43.2,Backhand,Left
1083,43.32,Forehand,Left
1086,43.44,Forehand,Left
1089,43.56,Backhand,Left
1092,43.68,Backhand,Left
1095,43.8,Smash,Left
1098,43.92,Forehand,Left
1110,44.4,Bounce,Left
1113,44.52,Backhand,Left
1116,44.64,Smash,Left
1122,44.88,Forehand,Left
1125,45.0,Forehand,Right
1128,45.12,Forehand,Right
1131,45.24,Forehand,Right
1134,45.36,Forehand,Right
1137,45.48,Forehand,Left
1140,45.6,Forehand,Left
1143,45.72,Forehand,Left
1146,45.84,Forehand,Left
1146,45.84,Bounce,Left
1149,45.96,Forehand,Left
1152,46.08,Forehand,Left
1155,46.2,Forehand,Left
1158,46.32,Backhand,Left
1161,46.44,Forehand,Left
1164,46.56,Forehand,Left
1167,46.68,Backhand,Left
1170,46.8,Backhand,Left
1173,46.92,Smash,Left
1176,47.04,Forehand,Left
1179,47.16,Backhand,Right
1182,47.28,Backhand,Right
1185,47.4,Backhand,Right
1188,47.52,Backhand,Right
1191,47.64,Smash,Right
1194,47.76,Smash,Right
1197,47.88,Backhand,Right
1200,48.0,Backhand,Right
1203,48.12,Backhand,Right
1206,48.24,Smash,Right
1209,48.36,Smash,Right
1209,48.36,Bounce,Right
1212,48.48,Backhand,Right
1215,48.6,Smash,Right
1218,48.72,Smash,Right
1221,48.84,Smash,Left
1224,48.96,Backhand,Right
1224,48.96,Bounce,Right
1227,49.08,Backhand,Left
1230,49.2,Backhand,Left
1233,49.32,Backhand,Left
1236,49.44,Smash,Right
1236,49.44,Bounce,Right
1248,49.92,Backhand,Right
1257,50.28,Backhand,Right
1263,50.52,Backhand,Right
1269,50.76,Backhand,Right
